Name,Type
Verdello,White
Jaén blanca ,White
Gutedel ,White
Alcañón ,White
Muskateller ,White
Klevner ,White
Grauburgunder ,White
Rheinriesling ,White
Friulano ,White
Esgana Cão ,White
Olaszrizling ,White
Garrido,White
Weisser Gutedel,White
Viura,White
Weissburgunder,White
Klingelberger,White
Tocai Friulano,White
Esgana,White
Moscatel branco ,White
Malvoisie ,White
Lazki Rizling ,White
Frontignan,White
Graševina,White
Pinot Nero,Red
Turbiana,White
Pinot Bianco,White
Syrah,Red
Greco,Red
Nerello Mascalese,Red
Rosato,Red
Rosé,Red
Sauvignon Blanc,White
Prugnolo Gentile,Red
Carricante,White
Insolia,White
Zibibbo,White
Inzolia,White
Malvasia,White
Schiava,White
Corvina,Red
Lambrusco di Sorbara,Red
Nero di Troia,Red
Lambrusco Grasparossa,Red
Teroldego,Red
Carignano,Red
Brachetto,Red
Uva di Troia,Red
Ruché,Red
Champagne Blend,White
Perricone,Red
Pallagrello,Red
Tocai,White
Refosco,Red
Red Blend,Red
Sangiovese Grosso,Red
"Corvina, Rondinella, Molinara",Red
Sauvignon,Red
Syrah,Red
White Blend,White
Pinot Grigio,White
Glera,White
Sparkling Blend,White
Cesanese d'Affile,Red
Manzoni,White
Mantonico,White
Trebbiano Spoletino,White
Cabernet,Red
Nascetta,White
Moscadello,White
Prié Blanc,White
Malvasia Nera,Red
Tempranillo,Red
Greco Bianco,White
Nerello Cappuccio,Red
Pinot Noir,Red
Alicante,Red
Pallagrello Nero,Red
Pallagrello Bianco,White
Shiraz,White
Magliocco,Red
Veltliner,White
Bovale,Red
Pugnitello,Red
Cabernet Blend,Red
Canaiolo,White
Verduzzo Friulano,White
Trebbiano di Lugana,White
Lambrusco Salamino,Red
Asprinio,White
Malvasia Istriana,Red
Malvasia Bianca,White
Gragnano,Red
Cabernet Sauvignon-Merlot,Red
Groppello,Red
Torbato,White
Malbec,Red
Malvasia di Candia,White
Bordeaux-style Red Blend,Red
Moscato Rosa,Red
Bombino Bianco,White
Rebo,Red
Roviello,Red
Sirica,Red
Biancale,White
Cabernet Sauvignon-Shiraz,Red
Vespaiolo,White
Carmenère,Red
Francisa,Red
Franconia,White
Grenache,Red
Vermentino Nero,Red
Merlot-Cabernet,Red
Moscato di Noto,White
Roscetto,White
Teroldego Rotaliano,Red
Tintilia ,Red
Albanello,White
Verduzzo Friulano ,White
